Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HTTPS Self Signed Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS,Unknown Error
lastampa.it,lastampa.it,https://www.lastampa.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
vanityfair.it,vanityfair.it,https://www.vanityfair.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
repubblica.it,repubblica.it,https://www.repubblica.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
gazzetta.it,gazzetta.it,https://www.gazzetta.it,True,False,,True,True,False,False,False,False,False,False,False,max-age=0,0,False,False,False,False,False,True,True,False,False
corriere.it,corriere.it,https://www.corriere.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
ilsole24ore.com,ilsole24ore.com,https://www.ilsole24ore.com,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
ilmessaggero.it,ilmessaggero.it,https://www.ilmessaggero.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
ilrestodelcarlino.it,ilrestodelcarlino.it,https://www.ilrestodelcarlino.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
avvenire.it,avvenire.it,https://www.avvenire.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
lanazione.it,lanazione.it,https://www.lanazione.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
ilgiornale.it,ilgiornale.it,http://www.ilgiornale.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
liberoquotidiano.it,liberoquotidiano.it,http://liberoquotidiano.it,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
ilgiorno.it,ilgiorno.it,https://www.ilgiorno.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
ilmattino.it,ilmattino.it,https://www.ilmattino.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
italiaoggi.it,italiaoggi.it,https://www.italiaoggi.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
ilfattoquotidiano.it,ilfattoquotidiano.it,https://www.ilfattoquotidiano.it,True,False,,True,True,False,True,False,False,False,False,True,max-age=86400,86400,False,False,False,False,False,True,True,False,False
iltempo.it,iltempo.it,https://www.iltempo.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
ilmanifesto.it,ilmanifesto.it,https://ilmanifesto.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
linkiesta.it,linkiesta.it,https://www.linkiesta.it,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False
valigiablu.it,valigiablu.it,https://www.valigiablu.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
espresso.repubblica.it,repubblica.it,http://espresso.repubblica.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
panorama.it,panorama.it,http://www.panorama.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
agi.it,agi.it,https://www.agi.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
